This is the infection rate in each corop on each time stage for each age group.
Corop,Agegroup,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Achterhoek,Age_0_9,4.196810006233953E-4,4.120170797183853E-4,4.2351726964018344E-4,6.0237949736619E-4,6.397084277230958E-4,6.40702214363742E-4,6.820598823553681E-4,7.848281515534516E-4,9.703008340118391E-4,0.001071300551549692,0.0012322565394642382,0.0014401754904883601,0.0015646674964896468,0.0016652282533123897,0.0019742392121047114,0.002282337922348665,0.002665651722905782,0.0029229781402427824,0.0033584808751463413,0.003950996091014347,0.004240114292883623,0.004671557329432807,0.005188881645539434,0.005891952742425488,0.00639994282641243,0.0068445967287529275,0.007985967879856726,0.009420617632808548,0.010305109546783098,0.011895330590974584,0.013172011876991463,0.01407233337543623,0.015645613851481444,0.017707321903619677,0.019859011551865313,0.021950500670041118,0.02427297863003053,0.02662568069015747,0.029419853121124273,0.032474007207120126,0.03567085314062479,0.03914236646344649,0.04267061757051982,0.047631517562442105,0.05231371970272225,0.05744323682830976,0.06200196828462878,0.06694483717710775,0.0711524722995781,0.07635071642157487,0.0815338990731933,0.08595481558185036,0.0898840617769423,0.0950218370014847,0.09876269420536965,0.1030084825996268,0.10678567798903915,0.11013564814368348,0.1129186416002832,0.11540892938507297,0.11745245569601981,0.11878795789445884,0.1189838706285582,0.11971469427787595,0.12009024071378727,0.1199448841533931,0.11885275182102273,0.11786844704011357,0.11701464177271148,0.11480210375395161,0.11273721095186129,0.11022675641606317,0.10772701681312846,0.10482600073534953,0.10225949585795302,0.09812828362784398,0.09519516368285696,0.09213937525552829,0.08913272178499576,0.08590725704728264
Achterhoek,Age_10_19,2.808000609599848E-4,3.0375876219068676E-4,3.005531571189657E-4,4.0595999475045996E-4,4.192788066417208E-4,4.4246615851195603E-4,4.5984009777999546E-4,5.386405105317627E-4,6.229418647877294E-4,6.997880310138926E-4,7.696171779040251E-4,9.049167140520176E-4,9.69278307319188E-4,0.0010700311878887314,0.001199773868254983,0.001397668952257125,0.0015939531358906134,0.0017651415185299113,0.0019571749959436113,0.0023166498814686243,0.0024632102797279565,0.0027448309159676665,0.003035935102992493,0.0034876251447830686,0.003740138635886181,0.004127947508102747,0.004658486854120403,0.005502635262883748,0.005974490654323761,0.006938479802228059,0.007532654478397793,0.0082332373156917,0.00903751816365328,0.01035223284119513,0.011419945543900467,0.012800620359003867,0.01399782844039077,0.015610356754526489,0.017047439573788625,0.019017878971309132,0.020592760759757245,0.02292181110855218,0.024779803002604073,0.027972943975666964,0.030305827761774595,0.033628836234700143,0.03597271671830593,0.03934483077786577,0.04166362507653676,0.045294559525601574,0.04808946365887179,0.05147761378465043,0.053653412562744696,0.057461358105554416,0.059648775868325066,0.06317778595079604,0.06529236180553522,0.06830879853240468,0.07001764669675703,0.07269934014448032,0.07402683497373641,0.07603650647870197,0.07637603605586585,0.07782628281477588,0.0783295578805403,0.07928001041240051,0.07895069717678482,0.07925189682713074,0.07903133741414403,0.0784306189556383,0.07749510385704184,0.07644865917308186,0.07518938376571327,0.07373094481709996,0.07244433312290532,0.07022990563899778,0.06873815991383214,0.06671235874506098,0.06511080954533066,0.06288030241609133
Achterhoek,Age_20_29,3.004180660863831E-4,3.5461517517965113E-4,3.3670259578499895E-4,4.3432105600971216E-4,4.369215679720373E-4,4.8045681326847056E-4,4.903350082169355E-4,5.792349460415069E-4,6.242692793571036E-4,7.117732373406183E-4,7.526084804528876E-4,8.922463481153553E-4,9.579956455436633E-4,0.0011268913211576193,0.0011659046949542562,0.0013546265772462762,0.0014981521243204732,0.0016724055725850784,0.0017858364528264836,0.0020970883293726095,0.002228465944998592,0.002507414859061141,0.0027741687592579556,0.003263952905195988,0.003432158389072515,0.003919741676196908,0.004228479438472266,0.004953033363036319,0.005368653454348893,0.006239946896523407,0.006591342387814114,0.0074673640949393105,0.008018856474437008,0.00930352640845511,0.00997981526397096,0.011475316355504361,0.01238593227264373,0.014123938744837528,0.01517608382049096,0.01714112111413546,0.018264615441022203,0.020631592856559355,0.02206890276264295,0.025273594144646694,0.02693335629790894,0.030303727531278635,0.032004998597019774,0.03561988555322726,0.03755302817283879,0.041537167122606466,0.04374195177728679,0.04786564246907332,0.04968685902673842,0.054180476606282446,0.05618255885246293,0.06060156985189902,0.06236301848320802,0.06650466437687252,0.06827806966098626,0.07236730435768335,0.07384398072172271,0.07739191409980217,0.07811429001331416,0.08082446861833836,0.08172085507305016,0.08403990731447641,0.08431132058711321,0.08554772427761137,0.08580319822128957,0.0862703331776895,0.08585255978790929,0.08543094133942775,0.08457790425440004,0.08356346939424075,0.0826942566444937,0.08100551801495881,0.08001231966890565,0.0779173204284277,0.07671330906770646,0.07430558104985985
Achterhoek,Age_30_39,3.089191507725797E-4,3.6464962364080034E-4,3.4623026467639484E-4,4.466104160745221E-4,4.492844944560259E-4,4.94051288046804E-4,5.042089149739359E-4,5.956235047950287E-4,6.41931605808721E-4,7.319103891574308E-4,7.739004762349344E-4,9.174870154472492E-4,9.850953710374144E-4,0.0011587659863638855,0.0011988822099014973,0.001392938351470474,0.0015405199801550307,0.001719697084191285,0.0018363325594464852,0.002156375848319958,0.0022914634203381468,0.0025782878693556555,0.0028525708805856587,0.003356173744499147,0.0035291233445946535,0.004030453903167253,0.004347892847418988,0.005092855994629608,0.005520176337338811,0.0064159814299271645,0.0067772562608307,0.00767789120779061,0.008244867114994503,0.009565570437895077,0.010260808882110228,0.01179816612136575,0.01273423615893543,0.01452075668370223,0.015602227634733623,0.017621947767330504,0.01877665523522587,0.021209270039050043,0.02268635604980751,0.025979512694593865,0.027684972073071856,0.03114788422076853,0.03289573811256952,0.03660931617005114,0.03859507451640665,0.042687296328322244,0.044951686222025944,0.049186461936778,0.051056573777184644,0.055670399899450884,0.0577258401534656,0.062262186227388994,0.06407023725564498,0.06832107904333806,0.07014107769309241,0.0743373764712899,0.07585258654311178,0.07949282316678952,0.08023394396064665,0.08301430218949035,0.08393384939716553,0.0863127031651495,0.08659110425279626,0.08785931087128551,0.08812135009972033,0.08860048434143308,0.08817197994328319,0.08773952610236257,0.08686454911845043,0.08582399321261502,0.0849323728586242,0.0832000315703939,0.08218114709307134,0.08003186485547875,0.07879659410098905,0.0763262182592942
Achterhoek,Age_40_49,2.657518589710417E-4,3.124969163702529E-4,3.0047685408685076E-4,3.65783855044266E-4,3.7089694263203743E-4,3.9892726743862017E-4,4.1137617783415514E-4,5.046168952386187E-4,5.400924158963649E-4,6.092653545682891E-4,6.444215033661882E-4,7.686489615263969E-4,8.26288794185448E-4,9.673116051508446E-4,9.887017612968396E-4,0.001145305835878796,0.001245395065807564,0.0013867532231871538,0.0014743255980387282,0.0017084076354895172,0.001812581922447598,0.0020395816985125936,0.002242408019933806,0.002645735082445144,0.0027842998474223446,0.003200312396055116,0.0034243522686704386,0.0039890594411508,0.004337666243975247,0.005029368077958507,0.005292664616811771,0.006051958283409764,0.006487315275360617,0.007535487289881293,0.00804405914293671,0.009302621001962552,0.009995136343035615,0.0114364507606598,0.012208348539977543,0.013818971879581587,0.014620320857581137,0.016624074438504444,0.017781935628845447,0.020371542485580818,0.021539665927606255,0.02434361008965502,0.025643933032600597,0.028731773220058043,0.030377020236760588,0.03378349064149366,0.03550784574883603,0.0391415128046555,0.04080163059252395,0.04470455114559413,0.04651899963881967,0.0505351318492272,0.052227673363353655,0.05623887927827109,0.05787281072574335,0.06169721048785304,0.06331573221573294,0.0669121642617625,0.0678365998725009,0.07073017927884717,0.07189149114874216,0.07430501490460428,0.07495648257940601,0.07664325885575807,0.0772279238630289,0.07825659553059772,0.07832874204547491,0.07848830012205354,0.07804791931884447,0.07772156761681237,0.0772539055021737,0.07620815017609717,0.07546161471612867,0.07394569329350398,0.07302028618932221,0.07104661116657329
Achterhoek,Age_50_59,2.5132370723035535E-4,2.9553126558001797E-4,2.8416368715722395E-4,3.4592572397551535E-4,3.5076127457778217E-4,3.772701449391569E-4,3.890433554500916E-4,4.772234218615168E-4,5.107736217287995E-4,5.761926056386812E-4,6.094409552817037E-4,7.269275398532615E-4,7.814399692028795E-4,9.148119302805346E-4,9.350417047719883E-4,0.0010831509760156344,0.0011778116441407693,0.0013115038052016192,0.0013943275567794844,0.0016157184019656157,0.001714245592865482,0.001928942063472161,0.002120777515066563,0.002502255150143573,0.002633315382463919,0.003026803038378656,0.003238716023528543,0.0037728680607065357,0.004102620680117242,0.004756930810565274,0.005006000674111832,0.005724287553402818,0.006136145879295896,0.007127782361770363,0.007608943726125861,0.008799730503953773,0.009454988082236992,0.010818838700169864,0.011549295029865236,0.01307354747593148,0.013831973854161905,0.01572854715541927,0.016824570275630668,0.01927612765399178,0.0203820946609492,0.023037132314608022,0.024268540747511613,0.02719308938145748,0.028751538306393654,0.03197875070613643,0.033612600817825355,0.03705606984472187,0.03862952680604448,0.042329291580473716,0.044049573249497875,0.04785790765425091,0.04946313754693088,0.053268043112311925,0.054818191325669674,0.058447058233800586,0.0599830703232872,0.06339667834583873,0.06427423574140856,0.06702138715340278,0.0681240620152952,0.07041596179364873,0.07103465583098356,0.07263668477590701,0.0731920120061238,0.07416911257013892,0.07423764433545943,0.0743892091243189,0.07397089328105488,0.07366090019330518,0.0732166903615814,0.07222342171141705,0.07151439237268242,0.07007472683161053,0.0691959336914314,0.06732183432862437
Achterhoek,Age_60_69,1.544162952903383E-4,1.7233604639577127E-4,1.6825183109436814E-4,2.0242161497763256E-4,2.16966119491957E-4,2.224196859428318E-4,2.308236918447948E-4,2.7498825738803134E-4,2.9738803004353276E-4,3.28004981832275E-4,3.405834289088583E-4,3.907302256914713E-4,4.175959003958063E-4,4.7106874799085485E-4,4.880868017768103E-4,5.541851587901325E-4,5.979962793160043E-4,6.73334500100764E-4,7.122882470508296E-4,8.101074014421616E-4,8.629818662716504E-4,9.674926045543097E-4,0.0010498679725291504,0.0012350884727175826,0.0013043206724709933,0.0014882389087967907,0.001592864858380394,0.001843352807242682,0.0019951787912358965,0.0022973474390755033,0.0024323293765301512,0.0027603718909339214,0.0029844574594614093,0.0034535804007977955,0.0036920282517859393,0.004224219490343573,0.00456453054509065,0.005173595394285191,0.005580661706574119,0.006271749820720318,0.006665429237207143,0.007576292762689452,0.008164115426348095,0.009306917611060839,0.009884401543477472,0.011155496018217526,0.011842526683395582,0.013226414642962703,0.01407449578165021,0.015605300816292966,0.016494121368261117,0.018117126757468904,0.019024782898488524,0.020812278248191096,0.021895406617900015,0.023798593645669497,0.024805000171966518,0.02677633915400912,0.027747335934154682,0.0295983707492683,0.03061142205538603,0.03240259902757525,0.03319427759098359,0.03475168993809452,0.035626103663698006,0.036951394200562815,0.03768479407278513,0.03885942964962996,0.039472228457100855,0.040290150037295414,0.04071548608195397,0.04111941398794294,0.04128502574628512,0.04153935318194646,0.0416452492897017,0.04147855205417994,0.0413663155375108,0.04104294611016368,0.040885636668611,0.040362627661276185
Achterhoek,Age_70_79,1.002730364229043E-4,1.119099051249961E-4,1.0925765888303296E-4,1.314472723865645E-4,1.4089245037918197E-4,1.4443400013885999E-4,1.4989158054556917E-4,1.7857241352325914E-4,1.9311918037079323E-4,2.1300249826061712E-4,2.2117127868637176E-4,2.5373830989516843E-4,2.711860262161192E-4,3.059140661042514E-4,3.169666093062462E-4,3.598954663324161E-4,3.8834999495207523E-4,4.3728182648949954E-4,4.6258261516829435E-4,5.261185093856646E-4,5.604626544957192E-4,6.28348563200043E-4,6.818579940094383E-4,8.02179265866676E-4,8.471552722635334E-4,9.666412259425883E-4,0.0010346168926552712,0.001197369510777535,0.0012960242471156125,0.0014923855369701755,0.001580108944461478,0.001793317835741548,0.0019389747895459664,0.0022439446716773226,0.0023989753871851427,0.00274503503493162,0.0029663577603801228,0.003362531892269094,0.003627360873190044,0.004077055671923846,0.004333274038566648,0.004926227868016442,0.005308989911380846,0.006053355839205299,0.006429615378282905,0.007258067933239465,0.00770600466716298,0.008608616668134728,0.009161979224798222,0.01016123349511533,0.010741673493218196,0.011802044202887996,0.012395318189168725,0.013564247207247915,0.014272920905625264,0.0155188129107392,0.016177985658311855,0.017469858276249917,0.01810651640471539,0.019320811294741724,0.01998572560698375,0.021161957810196252,0.021682081492818917,0.0227057195334196,0.023280697962825503,0.024152503034410744,0.02463513030336273,0.025408389642538998,0.025811924920225993,0.026350676661750283,0.026630902277834045,0.026897063832357015,0.02700620230112194,0.02717381744481895,0.02724361314277901,0.027133744888442224,0.02705977484939659,0.026846673583666103,0.026743015376771706,0.026398424266626863
Achterhoek,Age_80_150,9.525962340861671E-5,1.0631470732136439E-4,1.03795059459455E-4,1.248753191476215E-4,1.3384829933704712E-4,1.372127956100755E-4,1.4239753514921905E-4,1.6964455023715797E-4,1.834641071687404E-4,2.0235345096697444E-4,2.1011387661440395E-4,2.4105292363552078E-4,2.576284716905297E-4,2.906205856432198E-4,3.0112066521681413E-4,3.4190376961618085E-4,3.689360775646078E-4,4.1542227722601854E-4,4.3945856732152677E-4,4.998191591432111E-4,5.324469835464862E-4,5.969405141234008E-4,6.477761390406567E-4,7.620855897909617E-4,8.048145584176325E-4,9.183313640447333E-4,9.829114799961847E-4,0.0011375350997435696,0.001231262945239897,0.0014178191841189847,0.0015011628277354916,0.00170372837167454,0.0018421154017772556,0.002131867120206299,0.0022791634159510243,0.002607962416778742,0.002818249072523482,0.0031946741464756734,0.003446305723496801,0.003873598234443998,0.004117056974525579,0.00468049382925162,0.005044211065684756,0.005751560170840886,0.0061091186500459305,0.006896418866067067,0.007322118587277049,0.008179951233044491,0.008705880305923341,0.009655632790473878,0.010207340537563558,0.011215263836673484,0.011779217254845209,0.012890425471612121,0.01356413746977958,0.014748623379130299,0.015375337888554719,0.01660365848730172,0.017209026732710186,0.018363697009840196,0.018995992816595697,0.020114575488092812,0.020609228277446157,0.021582776315870023,0.022129641504510467,0.022958850876409365,0.023417913288893644,0.024153440990235087,0.024537297115809875,0.025049788014763763,0.025316359956092938,0.02556955664444982,0.025673379923276674,0.02583283311833684,0.02589923054934007,0.025794711753231447,0.025724343629592084,0.02552162066498298,0.02542301154630766,0.025095208900682953
Agglomeratie_s_Gravenhage,Age_0_9,1.6485795591758556E-4,1.70202096729688E-4,1.8705770375959663E-4,1.9476911486859816E-4,2.7138089160672063E-4,3.228875923474428E-4,3.0096729882711504E-4,3.256165620161289E-4,3.9226180739837524E-4,4.3971629062100615E-4,4.620650654659775E-4,4.7895598390013117E-4,5.946479079214084E-4,6.05456973365559E-4,7.389261417977133E-4,8.153958008012552E-4,8.966956383984481E-4,0.0010193354623772022,0.0011824811544097757,0.0013246755355527107,0.001537895261006672,0.0016222701437934584,0.0019056188147265063,0.0021059681761796956,0.002488753208749195,0.0028068331148050074,0.0032372660599631065,0.003613174656684426,0.003975789220551196,0.004352283216351283,0.005041223675852469,0.005526508920358553,0.006275104408529075,0.007061914488453946,0.008006871055459608,0.00892668965776644,0.01012262156996202,0.011087604575049648,0.012497763860876754,0.013892084833833418,0.015704970700883725,0.017795727340570333,0.019810744918864143,0.021687693714506517,0.024314665347729747,0.026769962481794862,0.02998944670430692,0.03293202616012603,0.036752876684119196,0.04046222210920691,0.04470731211401047,0.0487467060385004,0.05354114610929761,0.05783988973725851,0.06293741489610882,0.06804430145679663,0.07300063532167478,0.07805766975365525,0.08337200016201873,0.08839129081729535,0.09291059868963769,0.09754186354872207,0.10222879659718576,0.10564605237672353,0.10926647653929333,0.11269902026640621,0.11586195387605669,0.11797197287661942,0.11977867942504894,0.12148521017103697,0.1219622520122221,0.12240229262854341,0.1218995368490059,0.12112954957291744,0.12031163159025526,0.1190567907511868,0.11767914189694884,0.11594536344704565,0.11325333534526993,0.11063180633587
