,6 mrt,7 mrt,8 mrt,9 mrt,10 mrt,11 mrt,12 mrt,13 mrt,14 mrt,15 mrt,16 mrt,17 mrt,18 mrt,19 mrt,20 mrt,21 mrt,22 mrt,23 mrt,24 mrt,25 mrt,26 mrt,27 mrt,28 mrt,29 mrt
Lower bound (RIVM),1,1,2,0,1,2,3,6,10,14,24,23,19,44,55,62,60,86,76,113,125,113,153,122
Upper bound (RIVM + excess death rate),1,1,2,0,1,2,3,6,10,14,37,35,29,68,85,95,92,127,112,167,185,167,226,180
