ZiekenhuisMetIC,CoropZiekenhuis,Locatie,Postcode,Plaats,Long,Lat,Provincie,CoropCode,COROP-standaard,Type,Polibezoeken,Aantal bedden,IC Bedden Schatting
"Van	Weel-Bethesda	Ziekenhuis",H_Groot_Rijnmond,,3240AD,Middelharnis,51.7536594,4.164964346,Zuid-Holland,CR29,Groot_Rijnmond,algemeen,50452,193,7
"VieCuri	-	locatie	Venlo ",H_Noord_Limburg,,5900BX,Venlo,51.36910446,6.173956219,Limburg,CR37,Noord_Limburg,algemeen,108971,486,16
Waterlandziekenhuis,H_Groot_Amsterdam,,1440AG,Purmerend,52.5103864,4.949898669,Noord-Holland,CR23,Groot_Amsterdam,algemeen,,,0
"Wilhelmina	Ziekenhuis	Assen",H_Noord_Drenthe,,9401RK,Assen,52.98371358,6.565182704,Drenthe,CR07,Noord_Drenthe,algemeen,73336,251,8
"Zaans	Medisch	Centrum",H_Zaanstreek,,1500EE,Zaandam,52.43793557,4.828435444,Noord-Holland,CR22,Zaanstreek,algemeen,,,0
"Ziekenhuis	Amstelland",H_Groot_Amsterdam,,1180AH,Amstelveen,52.32133006,4.863568233,Noord-Holland,CR23,Groot_Amsterdam,algemeen,65319,255,9
"Ziekenhuis	Gelderse	Vallei",H_Veluwe,,6710HN,Ede,52.04307431,5.669615937,Gelderland,CR13,Veluwe,algemeen,113793,446,15
"Ziekenhuis	Rivierenland",H_Zuidwest_Gelderland,,4000HA,Tiel,51.88943245,5.423554752,Gelderland,CR16,Zuidwest_Gelderland,algemeen,64697,262,9
"Ziekenhuis	St	Jansdal",H_Veluwe,,3840AC,Harderwijk,52.35226607,5.621717279,Gelderland,CR13,Veluwe,algemeen,85071,341,12
"Ziekenhuisgroep	Twente",H_Twente,,7550AM,Hengelo,52.26647837,6.790389049,Overijssel,CR12,Twente,algemeen,162079,603,20
"ZorgSaam	Zeeuws-Vlaanderen",H_Zeeuwsch_Vlaanderen,,4535PA,Terneuzen,51.30894163,3.861252201,Zeeland,CR31,Zeeuwsch_Vlaanderen,algemeen,6107,257,9
Zuyderland,H_Zuid_Limburg,,6419PC,Heerlen,50.86866002,5.976896672,Limburg,CR39,Zuid_Limburg,algemeen,244564,980,33
